population,cohort,endpoint,threshold,TP,FP,TN,FN,sensitivity,specificity,PPV,NPV,youden,N,events,non_events,sensitivity_low,sensitivity_high,specificity_low,specificity_high,PPV_low,PPV_high,NPV_low,NPV_high,missed_among_positive,missed_among_positive_low,missed_among_positive_high,missed_per100,missed_per100_low,missed_per100_high,unnecessary_per100,unnecessary_per100_low,unnecessary_per100_high,avoided_negative_per100,avoided_negative_per100_low,avoided_negative_per100_high
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.596,50,2,283,341,0.1278772378516624,0.9929824561403509,0.9615384615384616,0.453525641025641,0.12085969399201324,676,391,285,0.09835940991150666,0.16463591770896685,0.974778609415189,0.9980734221016511,0.8701881084254424,0.9893882889986847,0.4148677944107844,0.4927521959782793,0.8721227621483376,0.8353640822910333,0.9016405900884934,50.44378698224852,46.68292900658096,54.199629702093254,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.598,49,2,283,342,0.12531969309462915,0.9929824561403509,0.9607843137254902,0.4528,0.11830214923498006,676,391,285,0.09610557047443832,0.16182443293724116,0.974778609415189,0.9980734221016511,0.8678369434463774,0.9891789166471329,0.41418241488513785,0.4919942546514948,0.8746803069053708,0.8381755670627589,0.9038944295255618,50.591715976331365,46.83013662630322,54.34660831859577,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.6,48,2,283,343,0.12276214833759591,0.9929824561403509,0.96,0.4520766773162939,0.11574460447794666,676,391,285,0.09385605172908196,0.1590086274738035,0.974778609415189,0.9980734221016511,0.8653990931249297,0.9889611156723802,0.4134993103078541,0.49123862150066305,0.8772378516624041,0.8409913725261965,0.906143948270918,50.7396449704142,46.9773769658973,54.49355421522641,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.602,47,2,283,344,0.12020460358056266,0.9929824561403509,0.9591836734693877,0.4513556618819777,0.11318705972091347,676,391,285,0.09161096734114349,0.15618838765294796,0.974778609415189,0.9980734221016511,0.8628696769391992,0.9887343666338142,0.4128184692764816,0.49048528613294495,0.8797953964194374,0.8438116123470522,0.9083890326588565,50.887573964497044,47.124650029208794,54.64046738813969,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.6025595860743581,47,2,283,344,0.12020460358056266,0.9929824561403509,0.9591836734693877,0.4513556618819777,0.11318705972091347,676,391,285,0.09161096734114349,0.15618838765294796,0.974778609415189,0.9980734221016511,0.8628696769391992,0.9887343666338142,0.4128184692764816,0.49048528613294495,0.8797953964194374,0.8438116123470522,0.9083890326588565,50.887573964497044,47.124650029208794,54.64046738813969,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.604,47,2,283,344,0.12020460358056266,0.9929824561403509,0.9591836734693877,0.4513556618819777,0.11318705972091347,676,391,285,0.09161096734114349,0.15618838765294796,0.974778609415189,0.9980734221016511,0.8628696769391992,0.9887343666338142,0.4128184692764816,0.49048528613294495,0.8797953964194374,0.8438116123470522,0.9083890326588565,50.887573964497044,47.124650029208794,54.64046738813969,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.606,47,2,283,344,0.12020460358056266,0.9929824561403509,0.9591836734693877,0.4513556618819777,0.11318705972091347,676,391,285,0.09161096734114349,0.15618838765294796,0.974778609415189,0.9980734221016511,0.8628696769391992,0.9887343666338142,0.4128184692764816,0.49048528613294495,0.8797953964194374,0.8438116123470522,0.9083890326588565,50.887573964497044,47.124650029208794,54.64046738813969,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.608,47,2,283,344,0.12020460358056266,0.9929824561403509,0.9591836734693877,0.4513556618819777,0.11318705972091347,676,391,285,0.09161096734114349,0.15618838765294796,0.974778609415189,0.9980734221016511,0.8628696769391992,0.9887343666338142,0.4128184692764816,0.49048528613294495,0.8797953964194374,0.8438116123470522,0.9083890326588565,50.887573964497044,47.124650029208794,54.64046738813969,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.61,47,2,283,344,0.12020460358056266,0.9929824561403509,0.9591836734693877,0.4513556618819777,0.11318705972091347,676,391,285,0.09161096734114349,0.15618838765294796,0.974778609415189,0.9980734221016511,0.8628696769391992,0.9887343666338142,0.4128184692764816,0.49048528613294495,0.8797953964194374,0.8438116123470522,0.9083890326588565,50.887573964497044,47.124650029208794,54.64046738813969,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
Central-imaging-negative validation/external,Pooled,CLNM_bin,0.612,47,2,283,344,0.12020460358056266,0.9929824561403509,0.9591836734693877,0.4513556618819777,0.11318705972091347,676,391,285,0.09161096734114349,0.15618838765294796,0.974778609415189,0.9980734221016511,0.8628696769391992,0.9887343666338142,0.4128184692764816,0.49048528613294495,0.8797953964194374,0.8438116123470522,0.9083890326588565,50.887573964497044,47.124650029208794,54.64046738813969,0.2958579881656805,0.08117246175482423,1.072252166730842,41.86390532544378,38.20118934155756,45.61856766608145
